page,button_text,handler,target_route_or_api,status,button_type
frontend/src/pages/SuperAdmin/Hospitals.jsx,Edit,() => startEditAdmin(row),(manual),MANUAL_REVIEW,button
frontend/src/pages/SuperAdmin/Hospitals.jsx,Next,"() => setPage((p) => Math.min(totalPages, p + 1))",(manual),MANUAL_REVIEW,button
frontend/src/pages/SuperAdmin/Hospitals.jsx,Next,"() => setAdminListPage((p) => Math.min(adminListTotalPages, p + 1))",(manual),MANUAL_REVIEW,button
frontend/src/pages/SuperAdmin/Hospitals.jsx,Prev,"() => setPage((p) => Math.max(1, p - 1))",(manual),MANUAL_REVIEW,button
frontend/src/pages/SuperAdmin/Hospitals.jsx,Prev,"() => setAdminListPage((p) => Math.max(1, p - 1))",(manual),MANUAL_REVIEW,button
frontend/src/pages/SuperAdmin/Hospitals.jsx,Save,() => saveEditBranch(b._id),(manual),MANUAL_REVIEW,button
frontend/src/pages/SuperAdmin/Hospitals.jsx,Save,() => saveEditAdmin(row._id),(manual),MANUAL_REVIEW,button
frontend/src/pages/SuperAdmin/SystemSettings.jsx,(dynamic/no-text),save,(manual),MANUAL_REVIEW,button
frontend/src/pages/SuperAdmin/SystemSettings.jsx,Set All Free,"() => setAllFeatureAccess(""FREE"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/SuperAdmin/SystemSettings.jsx,Set All Premium,"() => setAllFeatureAccess(""PREMIUM"")",(manual),MANUAL_REVIEW,button
